LocationID,borough,zone,service_zone,latitude,longitude
158,Manhattan,Meatpacking/West Village West,Yellow Zone,40.73503540069646,-74.0089841047852
159,Bronx,Melrose South,Boro Zone,40.818259747689666,-73.9128493979916
160,Queens,Middle Village,Boro Zone,40.71833677001361,-73.88005140814951
161,Manhattan,Midtown Center,Yellow Zone,40.758028043526075,-73.97769793122406
162,Manhattan,Midtown East,Yellow Zone,40.75668765218863,-73.97235594352028
163,Manhattan,Midtown North,Yellow Zone,40.76442140578658,-73.97756868222716
164,Manhattan,Midtown South,Yellow Zone,40.74857462935655,-73.98515639467684
165,Brooklyn,Midwood,Boro Zone,40.620924048746026,-73.95682460583801
166,Manhattan,Morningside Heights,Boro Zone,40.809456961125086,-73.96176359682927
167,Bronx,Morrisania/Melrose,Boro Zone,40.827512556863795,-73.90235177500072
168,Bronx,Mott Haven/Port Morris,Boro Zone,40.80734716766509,-73.91682193806464
169,Bronx,Mount Hope,Boro Zone,40.84905837739108,-73.90512221938538
170,Manhattan,Murray Hill,Yellow Zone,40.74774579364371,-73.97849159965223
171,Queens,Murray Hill-Queens,Boro Zone,40.768351626308295,-73.80954582099437
172,Staten Island,New Dorp/Midland Beach,Boro Zone,40.571768892932475,-74.10501900721489
173,Queens,North Corona,Boro Zone,40.75257923914941,-73.86303754486681
174,Bronx,Norwood,Boro Zone,40.87713760287637,-73.87902225226013
175,Queens,Oakland Gardens,Boro Zone,40.7426721034825,-73.75462173612384
176,Staten Island,Oakwood,Boro Zone,40.56199423458389,-74.1225840297696
177,Brooklyn,Ocean Hill,Boro Zone,40.676644101040004,-73.91363213611349
178,Brooklyn,Ocean Parkway South,Boro Zone,40.61731493715154,-73.97032580128302
179,Queens,Old Astoria,Boro Zone,40.77157024358319,-73.92833318686125
180,Queens,Ozone Park,Boro Zone,40.675594990706514,-73.847043172694
181,Brooklyn,Park Slope,Boro Zone,40.67037432591706,-73.98141374048751
182,Bronx,Parkchester,Boro Zone,40.83774866435336,-73.85798694048583
183,Bronx,Pelham Bay,Boro Zone,40.849172617182425,-73.83158179959666
184,Bronx,Pelham Bay Park,Boro Zone,40.8682762035476,-73.8078572663128
185,Bronx,Pelham Parkway,Boro Zone,40.85440471268903,-73.85439380221172
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,40.748497181404815,-73.99243753697608
187,Staten Island,Port Richmond,Boro Zone,40.628166874571825,-74.14078750231751
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,40.6587444508565,-73.94744164500472
189,Brooklyn,Prospect Heights,Boro Zone,40.6776353893471,-73.96758681222951
190,Brooklyn,Prospect Park,Boro Zone,40.66162215835666,-73.96891374270629
191,Queens,Queens Village,Boro Zone,40.71545451530502,-73.74153176997544
192,Queens,Queensboro Hill,Boro Zone,40.74375148543138,-73.81522935845777
193,Queens,Queensbridge/Ravenswood,Boro Zone,40.76031363502674,-73.94199705818413
194,Manhattan,Randalls Island,Yellow Zone,40.79100078171113,-73.92459630024575
195,Brooklyn,Red Hook,Boro Zone,40.675548862280735,-74.00917849113307
196,Queens,Rego Park,Boro Zone,40.726155639579055,-73.8633385580628
197,Queens,Richmond Hill,Boro Zone,40.69454235438108,-73.83092407449996
198,Queens,Ridgewood,Boro Zone,40.70652679441936,-73.90170926444713
199,Bronx,Rikers Island,Boro Zone,40.79113290307733,-73.88265824700589
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,40.89952906437628,-73.90698710771419
201,Queens,Rockaway Park,Boro Zone,40.57798249377494,-73.84345281477812
202,Manhattan,Roosevelt Island,Boro Zone,40.76189974995488,-73.94995171169585
203,Queens,Rosedale,Boro Zone,40.657853418019144,-73.7394725598729
204,Staten Island,Rossville/Woodrow,Boro Zone,40.54033400529595,-74.20782608356569
205,Queens,Saint Albans,Boro Zone,40.69120144680596,-73.7631461254384
206,Staten Island,Saint George/New Brighton,Boro Zone,40.63897220516624,-74.10231250352732
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,40.76398558883034,-73.8993525643453
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,40.82331858387734,-73.8235401189194
209,Manhattan,Seaport,Yellow Zone,40.70907274279292,-74.00366456329898
210,Brooklyn,Sheepshead Bay,Boro Zone,40.59202346436409,-73.94050716694062
211,Manhattan,SoHo,Yellow Zone,40.723888110041564,-74.00153756565638
212,Bronx,Soundview/Bruckner,Boro Zone,40.82790214858723,-73.86967965711672
213,Bronx,Soundview/Castle Hill,Boro Zone,40.817858557708014,-73.8581349878143
214,Staten Island,South Beach/Dongan Hills,Boro Zone,40.586786633051716,-74.08551235826918
215,Queens,South Jamaica,Boro Zone,40.694427554088584,-73.79096393223055
216,Queens,South Ozone Park,Boro Zone,40.676154037213635,-73.81945963682772
217,Brooklyn,South Williamsburg,Boro Zone,40.703916440465555,-73.95859684507164
218,Queens,Springfield Gardens North,Boro Zone,40.67208970676714,-73.77303565610485
219,Queens,Springfield Gardens South,Boro Zone,40.66218488071129,-73.76450578558237
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,40.88240311320903,-73.91066467564433
221,Staten Island,Stapleton,Boro Zone,40.6187692787319,-74.07370444530254
222,Brooklyn,Starrett City,Boro Zone,40.64752703432337,-73.88241292571813
223,Queens,Steinway,Boro Zone,40.77742692053245,-73.90540773409784
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,40.73182063601658,-73.97659767323344
225,Brooklyn,Stuyvesant Heights,Boro Zone,40.68816818695471,-73.93188826440709
226,Queens,Sunnyside,Boro Zone,40.73769895644423,-73.92467306585051
227,Brooklyn,Sunset Park East,Boro Zone,40.64188631576504,-74.00465205914725
228,Brooklyn,Sunset Park West,Boro Zone,40.652354649538196,-74.01127116962886
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,40.75672894163291,-73.96514579918427
230,Manhattan,Times Sq/Theatre District,Yellow Zone,40.75981761719165,-73.98419648907571
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,40.71777273626498,-74.00787970866408
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,40.714732506939214,-73.98302455833489
233,Manhattan,UN/Turtle Bay South,Yellow Zone,40.74991407790198,-73.97044256869236
234,Manhattan,Union Sq,Yellow Zone,40.74033744175684,-73.99045782354733
235,Bronx,University Heights/Morris Heights,Boro Zone,40.85252114926335,-73.91597542466448
236,Manhattan,Upper East Side North,Yellow Zone,40.78043643718976,-73.95701169835733
237,Manhattan,Upper East Side South,Yellow Zone,40.76861518381134,-73.96563453538064
238,Manhattan,Upper West Side North,Yellow Zone,40.79170493442689,-73.97304890061594
239,Manhattan,Upper West Side South,Yellow Zone,40.783961430313546,-73.97863194845078
240,Bronx,Van Cortlandt Park,Boro Zone,40.89459912750684,-73.88197807761942
241,Bronx,Van Cortlandt Village,Boro Zone,40.87651237544535,-73.8956200178548
242,Bronx,Van Nest/Morris Park,Boro Zone,40.84678289580963,-73.85067057708343
243,Manhattan,Washington Heights North,Boro Zone,40.85710828331419,-73.9328314876129
244,Manhattan,Washington Heights South,Boro Zone,40.8417087711195,-73.94139910573634
245,Staten Island,West Brighton,Boro Zone,40.63004939183052,-74.1028601101664
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,40.753309065983146,-74.00401512528657
247,Bronx,West Concourse,Boro Zone,40.82898823048444,-73.92440873264256
248,Bronx,West Farms/Bronx River,Boro Zone,40.8341653168274,-73.87228927297
249,Manhattan,West Village,Yellow Zone,40.73457600733157,-74.00287495910835
250,Bronx,Westchester Village/Unionport,Boro Zone,40.83210165963194,-73.84864070062379
251,Staten Island,Westerleigh,Boro Zone,40.61688000771165,-74.1253477982936
252,Queens,Whitestone,Boro Zone,40.78819301672845,-73.81565681270983
253,Queens,Willets Point,Boro Zone,40.7606307521724,-73.84124393899133
254,Bronx,Williamsbridge/Olinville,Boro Zone,40.882157083046856,-73.85894823975751
255,Brooklyn,Williamsburg (North Side),Boro Zone,40.71880391812972,-73.95741813122183
256,Brooklyn,Williamsburg (South Side),Boro Zone,40.710879933377235,-73.95990462730532
257,Brooklyn,Windsor Terrace,Boro Zone,40.653611871336444,-73.9779824133001
258,Queens,Woodhaven,Boro Zone,40.688721356981105,-73.85576675985415
259,Bronx,Woodlawn/Wakefield,Boro Zone,40.89793202529449,-73.85221545370118
260,Queens,Woodside,Boro Zone,40.74423471780129,-73.90630644197874
261,Manhattan,World Trade Center,Yellow Zone,40.70913894067169,-74.01302277174901
262,Manhattan,Yorkville East,Yellow Zone,40.775932403149774,-73.94651035601461
263,Manhattan,Yorkville West,Yellow Zone,40.778765855434166,-73.95100987481803
264,Unknown,,,,
265,,Outside of NYC,,,
